Club_Name,Logo,Country
de graafschap doetinchem,https://tmssl.akamaized.net/images/wappen/big/642.png?lm=1587280175,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
sbv excelsior rotterdam,https://tmssl.akamaized.net/images/wappen/big/63880.png?lm=1626987765,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
nac breda,https://tmssl.akamaized.net/images/wappen/big/132.png?lm=1611249884,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
ksc lokeren,https://tmssl.akamaized.net/images/wappen/big/7773.png?lm=1620232683,https://tmssl.akamaized.net/images/flagge/medium/19.png?lm=1520611569
1 fc nurnberg,https://tmssl.akamaized.net/images/wappen/big/4.png?lm=1525459914,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
anzhi makhachkala,https://tmssl.akamaized.net/images/wappen/big/2700.png?lm=1573974086,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
enisey krasnoyarsk,https://tmssl.akamaized.net/images/wappen/big/3714.png?lm=1419710297,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
apo levadiakos,https://tmssl.akamaized.net/images/wappen/big/2672.png?lm=1410074899,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
frosinone calcio,https://tmssl.akamaized.net/images/wappen/big/8970.png?lm=1438547543,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
chievo verona,https://tmssl.akamaized.net/images/wappen/big/49756.png?lm=1454498065,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
arsenal kiew,https://tmssl.akamaized.net/images/wappen/big/9007.png?lm=1437286827,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
akhisarspor,https://tmssl.akamaized.net/images/wappen/big/19771.png?lm=1604757093,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
bursaspor,https://tmssl.akamaized.net/images/wappen/big/20.png?lm=1441719256,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
vendsyssel ff,https://tmssl.akamaized.net/images/wappen/big/19657.png?lm=1437861900,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569
fortuna dusseldorf,https://tmssl.akamaized.net/images/wappen/big/38.png?lm=1405514004,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
amiens sc,https://tmssl.akamaized.net/images/wappen/big/1416.png?lm=1625493669,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
fc toulouse,https://tmssl.akamaized.net/images/wappen/big/415.png?lm=1530117274,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
desportivo aves,https://tmssl.akamaized.net/images/wappen/big/68826.png?lm=1534502701,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
vitoria setubal fc,https://tmssl.akamaized.net/images/wappen/big/1085.png?lm=1547543194,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
afc bournemouth,https://tmssl.akamaized.net/images/wappen/big/989.png?lm=1457991811,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
cd leganes,https://tmssl.akamaized.net/images/wappen/big/1244.png?lm=1422972468,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
sc paderborn 07,https://tmssl.akamaized.net/images/wappen/big/127.png?lm=1532010365,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
fk orenburg,https://tmssl.akamaized.net/images/wappen/big/14589.png?lm=1500713718,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
karpaty lviv,https://tmssl.akamaized.net/images/wappen/big/85465.png?lm=1626717874,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
hobro ik,https://tmssl.akamaized.net/images/wappen/big/5818.png?lm=1518120161,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569
esbjerg fb,https://tmssl.akamaized.net/images/wappen/big/3426.png?lm=1588522725,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569
panionios athen,https://tmssl.akamaized.net/images/wappen/big/169.png?lm=1401606183,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
ao xanthi,https://tmssl.akamaized.net/images/wappen/big/128.png?lm=1562577435,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
us lecce,https://tmssl.akamaized.net/images/wappen/big/1005.png?lm=1417104356,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
brescia calcio,https://tmssl.akamaized.net/images/wappen/big/19.png?lm=1511961167,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
spal,https://tmssl.akamaized.net/images/wappen/big/default.png?lm=1539765803,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
sv werder bremen,https://tmssl.akamaized.net/images/wappen/big/86.png?lm=1403082298,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
west bromwich albion,https://tmssl.akamaized.net/images/wappen/big/984.png?lm=1457991758,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
sheffield united,https://tmssl.akamaized.net/images/wappen/big/350.png?lm=1409254138,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
nimes olympique,https://tmssl.akamaized.net/images/wappen/big/1160.png?lm=1526910377,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
cd nacional,https://tmssl.akamaized.net/images/wappen/big/982.png?lm=1549988602,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
pfk tambov,https://tmssl.akamaized.net/images/wappen/big/41201.png?lm=1596729944,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
rotor volgograd,https://tmssl.akamaized.net/images/wappen/big/3609.png?lm=1572768340,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
dijon fco,https://tmssl.akamaized.net/images/wappen/big/2969.png?lm=1408780404,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
sc farense,https://tmssl.akamaized.net/images/wappen/big/4294.png?lm=1550150253,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
rio ave fc,https://tmssl.akamaized.net/images/wappen/big/2425.png?lm=1516613968,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
sd huesca,https://tmssl.akamaized.net/images/wappen/big/5358.png?lm=1535899179,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
real valladolid,https://tmssl.akamaized.net/images/wappen/big/366.png?lm=1407484674,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
