Player_Name,Player_Img_Url,P_Country_Url
james rodriguez,https://img.a.transfermarkt.technology/portrait/big/88103-1540568385.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/83.png?lm=1520611569
sergio aguero,https://img.a.transfermarkt.technology/portrait/big/26399-1580460866.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/9.png?lm=1520611569
phil foden,https://img.a.transfermarkt.technology/portrait/big/406635-1594986905.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
toni kroos,https://img.a.transfermarkt.technology/portrait/big/31909-1519743952.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
thibaut courtois,https://img.a.transfermarkt.technology/portrait/big/108390-1572942947.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/19.png?lm=1520611569
marquinhos,https://img.a.transfermarkt.technology/portrait/big/181767-1639581124.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
marco verratti,https://img.a.transfermarkt.technology/portrait/big/102558-1602849501.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
gonzalo higuain,https://img.a.transfermarkt.technology/portrait/big/39153-1618682679.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/9.png?lm=1520611569
pierre emerick aubameyang,https://img.a.transfermarkt.technology/portrait/big/58864-1545407105.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/51.png?lm=1520611569
matthijs de ligt,https://img.a.transfermarkt.technology/portrait/big/326031-1641810286.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
thomas muller,https://img.a.transfermarkt.technology/portrait/big/58358-1540568657.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
aymeric laporte,https://img.a.transfermarkt.technology/portrait/big/176553-1564994239.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
mason mount,https://img.a.transfermarkt.technology/portrait/big/346483-1642175298.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
